Filename,Height,Width,NumFrames,Framerate,MedianFrequencyVec,Major_q,Major_q_amplitude,Major_q_frequency,Major_q_damping,Major_q_offset,Major_q_gof
stabilized_rescale_crop_fps10_DJI_0004.mat,1024,1024,546,10,1.84E-01,1,1.69E+02,1.84E-02,7.38E-02,2.39E+02,4.47E-01
stabilized_rescale_crop_fps10_DJI_0012.mat,1024,1024,111,10,4.63E-01,22,1.21E-01,4.63E-02,2.31E-01,1.32E-01,2.96E-01
stabilized_rescale_crop_fps10_DJI_0013.mat,1024,1024,113,10,8.93E-01,12,6.33E-02,8.93E-02,6.80E-01,4.16E-02,2.31E-01
stabilized_rescale_crop_fps10_DJI_0014.mat,1024,1024,120,10,5.63E+00,7,4.65E-01,5.63E-01,1.15E+02,2.49E-01,1.11E-16
stabilized_rescale_crop_fps10_DJI_0015.mat,1024,1024,128,10,1.00E+01,5,6.63E-01,9.94E-01,3.33E-02,1.12E+00,8.84E-01
stabilized_rescale_crop_fps10_DJI_0016.mat,1024,1024,112,10,1.79E-01,99,7.15E-03,1.79E-02,3.53E-13,1.24E-02,8.60E-01
stabilized_rescale_crop_fps10_DJI_0017.mat,1024,1024,111,10,9.91E+00,96,2.65E-02,9.92E-01,2.24E-02,4.46E-02,9.69E-01
stabilized_rescale_crop_fps10_DJI_0018.mat,1024,1024,114,10,2.57E+00,13,5.04E-01,2.57E-01,5.88E+01,2.63E-01,-2.22E-16
stabilized_rescale_crop_fps10_DJI_0019.mat,1024,1024,122,10,6.67E-01,71,6.10E-02,6.67E-02,4.15E-01,5.42E-02,2.73E-01
stabilized_rescale_crop_fps10_DJI_0024.mat,1024,1024,111,10,2.30E+00,47,6.93E-02,2.30E-01,4.12E+01,3.20E-02,0
stabilized_rescale_crop_fps10_DJI_0025.mat,1024,1024,110,10,1.01E+01,1,3.30E-02,9.94E-01,1.94E-10,6.04E-02,7.72E-01
stabilized_rescale_crop_fps10_DJI_0026.mat,1024,1024,218,10,1.00E+01,5,5.19E-01,9.93E-01,2.22E-14,8.91E-01,9.27E-01
stabilized_rescale_crop_fps10_DJI_0028.mat,1024,1024,122,10,4.17E-01,6,4.55E-02,4.17E-02,1.49E-01,5.59E-02,5.10E-01
stabilized_rescale_crop_fps10_DJI_0029.mat,1024,1024,120,10,1.98E+00,7,7.34E-02,1.98E-01,2.87E+01,3.40E-02,4.63E-14
stabilized_rescale_crop_fps10_DJI_0030.mat,1024,1024,114,10,1.03E+01,7,2.92E-01,1.01E+00,1.23E-02,4.95E-01,9.51E-01
stabilized_rescale_crop_fps10_DJI_0031.mat,1024,1024,243,10,1.38E-01,9,1.11E+00,1.53E-02,1.58E-02,1.77E+00,7.15E-01
stabilized_rescale_crop_fps10_DJI_0032.mat,1024,1024,170,10,7.14E-01,15,3.03E-01,7.14E-02,4.79E-01,2.48E-01,1.03E-01
stabilized_rescale_crop_fps10_DJI_0033.mat,1024,1024,186,10,6.52E-01,28,2.80E-01,6.52E-02,4.31E-01,2.42E-01,1.76E-01
stabilized_rescale_crop_fps10_DJI_0034.mat,1024,1024,164,10,4.88E-01,45,4.35E-02,4.88E-02,2.29E-01,4.83E-02,3.48E-01
stabilized_rescale_crop_fps10_DJI_0035.mat,1024,1024,190,10,2.13E-01,44,6.55E-02,2.13E-02,3.80E-02,9.86E-02,6.50E-01
stabilized_rescale_crop_fps10_DJI_0036.mat,1024,1024,169,10,5.95E-01,6,1.57E+00,5.95E-02,3.84E-01,1.41E+00,1.69E-01
stabilized_rescale_crop_fps10_DJI_0037.mat,1024,1024,230,10,6.19E-01,6,4.81E-01,1.75E-02,2.97E-02,7.56E-01,5.74E-01
stabilized_rescale_crop_fps10_DJI_0038.mat,1024,1024,159,10,6.66E-01,6,2.92E+00,6.41E-02,4.07E-01,2.57E+00,2.22E-01
stabilized_rescale_crop_fps10_DJI_0039.mat,1024,1024,144,10,7.64E-01,46,9.34E-02,7.64E-02,5.50E-01,7.08E-02,1.77E-01
stabilized_rescale_crop_fps10_DJI_0040.mat,1024,1024,166,10,6.10E-01,84,2.61E-02,6.10E-02,3.89E-01,2.37E-02,2.13E-01
stabilized_rescale_crop_fps10_DJI_0041.mat,1024,1024,155,10,1.32E-01,117,1.63E-02,1.32E-02,2.22E-14,2.84E-02,8.51E-01
stabilized_rescale_crop_fps10_DJI_0042.mat,1024,1024,266,10,2.65E-01,27,2.43E-01,2.65E-02,9.28E-02,3.17E-01,4.53E-01
stabilized_rescale_crop_fps10_DJI_0043.mat,1024,1024,163,10,3.18E+00,9,3.79E+00,3.18E-01,1.00E+04,2.09E+00,-2.22E-16
stabilized_rescale_crop_fps10_DJI_0044.mat,1024,1024,175,10,5.81E-01,4,3.75E+00,5.81E-02,3.35E-01,3.60E+00,2.39E-01
stabilized_rescale_crop_fps10_DJI_0045.mat,1024,1024,220,10,5.91E-01,27,1.95E-01,5.91E-02,3.74E-01,1.80E-01,1.50E-01
stabilized_rescale_crop_fps10_DJI_0046.mat,1024,1024,160,10,5.41E+00,10,1.90E+00,5.41E-01,4.71E+01,9.80E-01,1.11E-16
stabilized_rescale_crop_fps10_DJI_0047.mat,1024,1024,206,10,7.76E-01,5,3.19E+00,6.86E-02,4.69E-01,2.63E+00,2.43E-01
stabilized_rescale_crop_fps10_DJI_0048.mat,1024,1024,211,10,4.81E-01,29,2.45E-01,4.81E-02,2.71E-01,2.51E-01,1.96E-01
stabilized_rescale_crop_fps10_DJI_0049.mat,1024,1024,225,10,5.36E-01,48,1.94E-02,5.36E-02,2.89E-01,2.02E-02,2.81E-01
stabilized_rescale_crop_fps10_DJI_0050.mat,1024,1024,267,10,7.58E-02,20,4.33E-01,1.36E-02,2.16E-02,7.39E-01,7.64E-01
stabilized_rescale_crop_fps10_DJI_0051.mat,1024,1024,213,10,1.48E-01,48,3.87E-02,1.63E-02,9.15E-03,6.65E-02,5.15E-01
stabilized_rescale_crop_fps10_DJI_0052.mat,1024,1024,214,10,1.19E+00,124,7.53E-02,1.19E-01,1.75E+00,1.46E-02,1.12E-01
